id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1277585583519522820,2020-06-29 12:51:54+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @FatEmperor: Okay guys here we have it: a brief and rare dose of scientific sanity, from the AAPS (Association of American Physicians an…",Okay guys brief rare dose scientific sanity AAPS Association American Physicians,"Sentiment(polarity=0.2, subjectivity=0.43333333333333335)",0.2,0.43333333333333335,en,0,0,Steve29764,,,FatEmperor,,Somerset now
1277585587223085056,2020-06-29 12:51:55+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Jacob_Rees_Mogg: A powerful, witty and conservative maiden speech.",A powerful witty conservative maiden speech,"Sentiment(polarity=0.4, subjectivity=1.0)",0.4,1.0,en,0,0,tigercumpsty,,,Jacob_Rees_Mogg,,North West England
1277585592784760832,2020-06-29 12:51:56+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @GovernorTomWolf: Masks are required in Pennsylvania businesses. No mask = no service.

The importance of mask-wearing to reduce the spr…",Masks required Pennsylvania businesses No mask service.The importance mask-wearing reduce spr,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,StillNotDan,,,GovernorTomWolf,,Namek
1277585595779493888,2020-06-29 12:51:57+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @GenomeNathan: So you woke wondering 'How can I help crack #COVID19...in my robe and slippers?'

1. Search for email from @GiftOfLife, s…",So woke wondering 'How I help crack ... robe slippers 1 Search email,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,GiftofLife,,COVID19,"GenomeNathan, GiftofLife",,"Boca Raton, FL"
1277585600015671296,2020-06-29 12:51:58+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @uniglobalunion: ""Today, all eyes are on Germany as the brave workers there take a stand to win safe work, a collective agreement and to…",`` Today eyes Germany brave workers take stand win safe work collective agreement,"Sentiment(polarity=0.7000000000000001, subjectivity=0.6333333333333333)",0.7000000000000001,0.6333333333333333,en,0,0,uniamericas,,,uniglobalunion,,Montevideo
1277585604411371520,2020-06-29 12:51:59+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @WPFWDC: TRIBUTE TO HOWARD CROFT—
Champion for Workers’ Rights, Health Care, DC Statehood &amp; more. WPFW HealDC Special: Mon June 29, 10-1…",TRIBUTE TO HOWARD CROFTChampion Workers Rights Health Care DC Statehood amp WPFW HealDC Special Mon June -1,"Sentiment(polarity=0.35714285714285715, subjectivity=0.5714285714285714)",0.35714285714285715,0.5714285714285714,en,0,0,Drshaga1,,,WPFWDC,,"Maryland, USA"
1277585608144281602,2020-06-29 12:52:00+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Andrew_Adonis: Sacking the Cabinet Secretary in the middle of the COVID19 crisis with no  suitable, let alone better  replacement is Jo…",Sacking Cabinet Secretary middle COVID19 crisis suitable let alone better replacement Jo,"Sentiment(polarity=0.35000000000000003, subjectivity=0.4166666666666667)",0.35000000000000003,0.4166666666666667,en,0,0,Cassand62960032,,,Andrew_Adonis,,
1277585612892188673,2020-06-29 12:52:01+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Jacob_Rees_Mogg: A powerful, witty and conservative maiden speech. https://t.co/Xbv9Vnw7Zd",A powerful witty conservative maiden speech,"Sentiment(polarity=0.4, subjectivity=1.0)",0.4,1.0,en,0,0,CraigCh47696121,0.0,,Jacob_Rees_Mogg,,
1277585616486588418,2020-06-29 12:52:02+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Siftedeu: 🌍  The global startup ecosystem.

From London to LA, Tel Aviv to Tokyo, global #startups advisory Startup Genome maps out how…",The global startup ecosystem.From London LA Tel Aviv Tokyo global advisory Startup Genome maps,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,_agarwala_,,startups,Siftedeu,,
1277585620790099968,2020-06-29 12:52:03+00:00,"<a href=""http://triberr.com"" rel=""nofollow"">Triberr</a>",Reasons #COVID19 Insurance Plan is a Must-have | @ModernLifeBlogs #healthinsurance #tips https://t.co/JrX5zFevhz,Reasons Insurance Plan Must-have,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,AmitVAngel,0.0,"COVID19, healthinsurance, tips",ModernLifeBlogs,,India
1277585625915555841,2020-06-29 12:52:04+00:00,"<a href=""https://www.oktopost.com"" rel=""nofollow"">Oktopost</a>",#Privateequity firms: Stakeholders will ask questions about post-#COVID19 valuations. Revisit your methods and cons… https://t.co/ZRowCqpqGt,Stakeholders ask questions post- valuations Revisit methods cons,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,BrianKirbyBDM,0.0,"Privateequity, COVID19",,,"Detroit, MI"
